System Name;Dialect;Performance;Writing System;Corpus Name;Corpus Topic;Automatic vs. Manual Transcription;Known Transcriber Differences;Training Dialects;Overlap in Training and Test in Terms of Dialect;Number of Different Speakers (Training Overall);Number of Different Speakers (Training Per Dialect);Different Speakers Test;Overlap between Test and Training Speakers;Training Set Size (Utterances Per Dialect);Training Set Size (Words Per Dialect);Mean Utterance Length in Words (Training Overall);Mean Utterance Length in Words (Training per Dialect);Vocab Size (Training Overall);Vocab Size (Training Per Dialect);Token Ratio (Training Overall);Token Ratio (Training Per Dialect);Charcter Ratio (Training Overall);Character Ratio (Training Per Dialect);Test Set Size ( in Words);Mean Utterance Length in Words (Test);Vocab Size Test;Token Ratio (Test);Charcter Ratio (Testl)
ArchiMob baseline;Bern;29.83;Dieht;ArchiMob;historical interviews;manual;Yes;Zurich area;No;22;N/A;1;no;0;0;6.62;N/A;N/A;1757;0.096749389;N/A;3.11456E-05;0;7811;5.747608536;1757;1;0.001101772
ArchiMob baseline;Basel;45.4;Dieht;ArchiMob;historical interviews;manual;Yes;Zurich area;No;22;N/A;1;no;0;0;6.62;N/A;N/A;2697;0.096749389;N/A;3.11456E-05;0;12255;5.676239;2697;1;0.000536808
ArchiMob baseline;Grisons;49.68;Dieht;ArchiMob;historical interviews;manual;Yes;Zurich area;No;22;N/A;1;no;0;0;6.62;N/A;N/A;900;0.096749389;N/A;3.11456E-05;0;3037;6.886621315;900;1;0.002188679
ArchiMob baseline;Lucerne;22.37;Dieht;ArchiMob;historical interviews;manual;Yes;Zurich area;No;22;N/A;1;no;0;0;6.62;N/A;N/A;2515;0.096749389;N/A;3.11456E-05;0;13095;7.202970297;2515;1;0.000681859
ArchiMob baseline;Uri;30.46;Dieht;ArchiMob;historical interviews;manual;Yes;Zurich area;No;22;N/A;1;no;0;0;6.62;N/A;N/A;1969;0.096749389;N/A;3.11456E-05;0;10155;8.36490939;1969;1;0.000712443
ArchiMob baseline;Valais;36.96;Dieht;ArchiMob;historical interviews;manual;Yes;Zurich area;No;22;N/A;1;no;0;0;6.62;N/A;N/A;2236;0.096749389;N/A;3.11456E-05;0;11488;7.846994536;2236;1;0.00078265
XLSR Lexicon-Free Khosravani et al.;Northwestern Swiss;17.2;in dialect;TV assistant;short commands, scripted or spontaneous;manual;No;Mixed: Northwestern Swiss, Bern, Zürich, Graubünden, Eastern Swiss, Valais, Central Swiss;Yes;3817;N/A;N/A;yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
XLSR Lexicon-Free Khosravani et al.;Bern;18.2;in dialect;TV assistant;short commands, scripted or spontaneous;manual;No;Mixed: Northwestern Swiss, Bern, Zürich, Graubünden, Eastern Swiss, Valais, Central Swiss;Yes;3817;N/A;N/A;yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
XLSR Lexicon-Free Khosravani et al.;Zurich;16.9;in dialect;TV assistant;short commands, scripted or spontaneous;manual;No;Mixed: Northwestern Swiss, Bern, Zürich, Graubünden, Eastern Swiss, Valais, Central Swiss;Yes;3817;N/A;N/A;yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
XLSR Lexicon-Free Khosravani et al.;Grisons;20.8;in dialect;TV assistant;short commands, scripted or spontaneous;manual;No;Mixed: Northwestern Swiss, Bern, Zürich, Graubünden, Eastern Swiss, Valais, Central Swiss;Yes;3817;N/A;N/A;yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
